,name,price,rating,distance,latitude,longitude,bikes_available
0,Coffee & Whisky House,3.0,8.8,657,53.011939,18.611414,5
1,Coffee & Whisky House,3.0,8.8,603,53.012029,18.596202,6
2,Coffee & Whisky House,3.0,8.8,229,53.009622,18.600228,4
3,Coffee & Whisky House,3.0,8.8,211,53.007485,18.600735,6
4,Coffee & Whisky House,3.0,8.8,832,53.015745,18.607203,9
5,Coffee & Whisky House,3.0,8.8,810,53.015872,18.601638,7
6,Coffee & Whisky House,3.0,8.8,852,53.013655,18.612899,5
7,Copernicus Toruń Hotel,,8.6,469,53.012029,18.596202,6
8,Copernicus Toruń Hotel,,8.6,251,53.007485,18.600735,6
9,Copernicus Toruń Hotel,,8.6,945,53.015872,18.601638,7
10,Copernicus Toruń Hotel,,8.6,855,53.010124,18.584802,8
11,Copernicus Toruń Hotel,,8.6,292,53.009622,18.600228,4
12,Szeroka No.9,,8.5,806,53.012029,18.596202,6
13,Szeroka No.9,,8.5,582,53.015745,18.607203,9
14,Szeroka No.9,,8.5,477,53.013655,18.612899,5
15,Szeroka No.9,,8.5,276,53.011939,18.611414,5
16,Szeroka No.9,,8.5,786,53.012702,18.619199,7
17,Szeroka No.9,,8.5,731,53.015872,18.601638,7
18,Szeroka No.9,,8.5,591,53.007485,18.600735,6
19,Szeroka No.9,,8.5,529,53.009622,18.600228,4
20,Bread House Cafe,1.0,8.4,283,53.007485,18.600735,6
21,Bread House Cafe,1.0,8.4,434,53.012029,18.596202,6
22,Manekin,,8.4,662,53.009622,18.600228,4
23,Manekin,,8.4,341,53.015745,18.607203,9
24,Manekin,,8.4,986,53.021252,18.613106,8
25,Widelec,2.0,8.4,578,53.01726,18.571075,5
26,Manekin,,8.4,833,53.012029,18.596202,6
27,Apartamenty Monka,,8.4,590,53.012029,18.596202,6
28,Manekin,,8.4,671,53.014522,18.5616,6
29,Widelec,2.0,8.4,730,53.013489,18.571125,7
30,Apartamenty Monka,,8.4,872,53.015745,18.607203,9
31,Manekin,,8.4,405,53.020554,18.570606,9
32,Widelec,2.0,8.4,693,53.020554,18.570606,9
33,Manekin,,8.4,379,53.013489,18.571125,7
34,Apartamenty Monka,,8.4,834,53.015872,18.601638,7
35,Widelec,2.0,8.4,440,53.013617,18.580471,5
36,Bread House Cafe,1.0,8.4,656,53.015872,18.601638,7
37,Manekin,,8.4,790,53.007485,18.600735,6
38,Manekin,,8.4,578,53.015872,18.601638,7
39,Bread House Cafe,1.0,8.4,739,53.015745,18.607203,9
40,Widelec,2.0,8.4,160,53.018989,18.580011,7
41,Manekin,,8.4,210,53.011939,18.611414,5
42,Bread House Cafe,1.0,8.4,684,53.011939,18.611414,5
43,Manekin,,8.4,302,53.013655,18.612899,5
44,Bread House Cafe,1.0,8.4,852,53.013655,18.612899,5
45,Apartamenty Monka,,8.4,901,53.013655,18.612899,5
46,Apartamenty Monka,,8.4,211,53.009622,18.600228,4
47,Manekin,,8.4,708,53.012702,18.619199,7
48,Widelec,2.0,8.4,655,53.022897,18.583878,5
49,Apartamenty Monka,,8.4,707,53.011939,18.611414,5
50,Apartamenty Monka,,8.4,162,53.007485,18.600735,6
51,Bread House Cafe,1.0,8.4,106,53.009622,18.600228,4
52,Widelec,2.0,8.4,893,53.010124,18.584802,8
53,Pierogarnia Stary Młyn,1.0,8.1,370,53.011939,18.611414,5
54,Pierogarnia Stary Młyn,1.0,8.1,749,53.015872,18.601638,7
55,Pierogarnia Stary Młyn,1.0,8.1,873,53.012702,18.619199,7
56,Pierogarnia Stary Toruń,1.0,8.1,849,53.012702,18.619199,7
57,Pierogarnia Stary Młyn,1.0,8.1,452,53.009622,18.600228,4
58,Pierogarnia Stary Toruń,1.0,8.1,545,53.015872,18.601638,7
59,Pierogarnia Stary Toruń,1.0,8.1,464,53.013655,18.612899,5
60,Pierogarnia Stary Młyn,1.0,8.1,572,53.013655,18.612899,5
61,Pierogarnia Stary Toruń,1.0,8.1,423,53.015745,18.607203,9
62,Pierogarnia Stary Toruń,1.0,8.1,324,53.011939,18.611414,5
63,Pierogarnia Stary Młyn,1.0,8.1,756,53.012029,18.596202,6
64,Pierogarnia Stary Toruń,1.0,8.1,631,53.007485,18.600735,6
65,Pierogarnia Stary Młyn,1.0,8.1,645,53.015745,18.607203,9
66,Pierogarnia Stary Młyn,1.0,8.1,498,53.007485,18.600735,6
67,Pierogarnia Stary Toruń,1.0,8.1,692,53.012029,18.596202,6
68,Pierogarnia Stary Toruń,1.0,8.1,496,53.009622,18.600228,4
69,Montenegro,1.0,8.0,843,53.021725,18.59627,5
70,Montenegro,1.0,8.0,860,53.035522,18.599119,5
71,Montenegro,1.0,8.0,670,53.033019,18.599727,3
72,Montenegro,1.0,8.0,746,53.025309,18.601746,6
73,Montenegro,1.0,8.0,877,53.022897,18.583878,5
74,Montenegro,1.0,8.0,215,53.030117,18.58979,7
75,Jan Olbracht Browar Staromiejski,2.0,7.8,523,53.007485,18.600735,6
76,Jan Olbracht Browar Staromiejski,2.0,7.8,915,53.012702,18.619199,7
77,Jan Olbracht Browar Staromiejski,2.0,7.8,405,53.009622,18.600228,4
78,Jan Olbracht Browar Staromiejski,2.0,7.8,555,53.013655,18.612899,5
79,Jan Olbracht Browar Staromiejski,2.0,7.8,388,53.011939,18.611414,5
80,Jan Olbracht Browar Staromiejski,2.0,7.8,525,53.015745,18.607203,9
81,Jan Olbracht Browar Staromiejski,2.0,7.8,648,53.012029,18.596202,6
82,Jan Olbracht Browar Staromiejski,2.0,7.8,598,53.015872,18.601638,7
83,Weranda Chełmińska,2.0,7.5,705,53.022897,18.583878,5
84,Weranda Chełmińska,2.0,7.5,930,53.018852,18.591969,8
85,Weranda Chełmińska,2.0,7.5,686,53.021725,18.59627,5
86,Weranda Chełmińska,2.0,7.5,710,53.025309,18.601746,6
87,Weranda Chełmińska,2.0,7.5,343,53.030117,18.58979,7
88,Weranda Chełmińska,2.0,7.5,842,53.033019,18.599727,3
89,Czarny Tulipan. Pub,2.0,7.4,827,53.018989,18.580011,7
90,Czarny Tulipan. Pub,2.0,7.4,619,53.013489,18.571125,7
91,Czarny Tulipan. Pub,2.0,7.4,234,53.013617,18.580471,5
92,Czarny Tulipan. Pub,2.0,7.4,862,53.01726,18.571075,5
93,Czarny Tulipan. Pub,2.0,7.4,369,53.010124,18.584802,8
94,Azzurro,2.0,7.3,610,53.018989,18.580011,7
95,Azzurro,2.0,7.3,728,53.010124,18.584802,8
96,Azzurro,2.0,7.3,335,53.013489,18.571125,7
97,Azzurro,2.0,7.3,298,53.013617,18.580471,5
98,Azzurro,2.0,7.3,489,53.01726,18.571075,5
99,Azzurro,2.0,7.3,810,53.020554,18.570606,9
100,Azzurro,2.0,7.3,968,53.014522,18.5616,6
101,Stare Metropolis,1.0,7.2,757,53.012029,18.596202,6
102,Stare Metropolis,1.0,7.2,487,53.007485,18.600735,6
103,Stare Metropolis,1.0,7.2,382,53.011939,18.611414,5
104,Stare Metropolis,1.0,7.2,584,53.013655,18.612899,5
105,Stare Metropolis,1.0,7.2,447,53.009622,18.600228,4
106,Stare Metropolis,1.0,7.2,881,53.012702,18.619199,7
107,Stare Metropolis,1.0,7.2,759,53.015872,18.601638,7
108,Stare Metropolis,1.0,7.2,658,53.015745,18.607203,9
109,Hotel Filmar,,7.0,899,53.021725,18.59627,5
110,Lizard King,,7.0,703,53.013655,18.612899,5
111,Lizard King,,7.0,506,53.011939,18.611414,5
112,Hotel Filmar,,7.0,310,53.021252,18.613106,8
113,Hotel Filmar,,7.0,805,53.025309,18.601746,6
114,Hotel Filmar,,7.0,497,53.024134,18.609268,5
115,Hotel Filmar,,7.0,944,53.019546,18.623415,4
116,Hotel Filmar,,7.0,743,53.023882,18.61791,9
117,Lizard King,,7.0,721,53.015745,18.607203,9
118,Od Nowa. Studencki klub pracy twórczej,1.0,6.8,589,53.013617,18.580471,5
119,Od Nowa. Studencki klub pracy twórczej,1.0,6.8,672,53.020554,18.570606,9
120,Od Nowa. Studencki klub pracy twórczej,1.0,6.8,642,53.01726,18.571075,5
121,Od Nowa. Studencki klub pracy twórczej,1.0,6.8,502,53.022897,18.583878,5
122,Od Nowa. Studencki klub pracy twórczej,1.0,6.8,859,53.013489,18.571125,7
123,Od Nowa. Studencki klub pracy twórczej,1.0,6.8,780,53.018852,18.591969,8
124,Od Nowa. Studencki klub pracy twórczej,1.0,6.8,20,53.018989,18.580011,7
125,Loft79,3.0,6.7,731,53.021252,18.613106,8
126,Loft79,3.0,6.7,980,53.019546,18.623415,4
127,Widelec,2.0,6.6,279,53.025994,18.633996,8
128,Widelec,2.0,6.6,311,53.024468,18.638258,6
129,Widelec,2.0,6.6,659,53.017646,18.635777,7
130,KFC,1.0,6.5,922,53.029537,18.653436,7
131,KFC,1.0,6.5,281,53.027355,18.665235,6
132,Gospoda Pod Modrym Fartuchem,,6.5,579,53.012702,18.619199,7
133,KFC,1.0,6.5,412,53.02348,18.659069,7
134,Subway,1.0,6.5,859,53.020554,18.570606,9
135,Subway,1.0,6.5,669,53.01726,18.571075,5
136,Subway,1.0,6.5,637,53.013489,18.571125,7
137,KFC,1.0,6.5,747,53.023772,18.675857,7
138,Pierogarnia Leniwa,1.0,6.5,574,53.012702,18.619199,7
139,Subway,1.0,6.5,43,53.014522,18.5616,6
140,Dim Sum,2.0,6.3,621,53.012702,18.619199,7
141,KFC,1.0,6.3,803,53.033019,18.599727,3
142,KFC,1.0,6.3,103,53.031525,18.610275,8
143,KFC,1.0,6.3,962,53.035522,18.599119,5
144,KFC,1.0,6.3,451,53.034691,18.612857,4
145,KFC,,6.2,434,53.028683,18.692462,6
146,McDonald's,1.0,6.1,902,53.017646,18.635777,7
147,McDonald's,1.0,6.1,156,53.024468,18.638258,6
148,McDonald's,1.0,6.1,216,53.025994,18.633996,8
149,Mr.Capone,1.0,6.0,408,53.013489,18.571125,7
150,KFC,1.0,6.0,303,53.025994,18.633996,8
151,KFC,1.0,6.0,34,53.024468,18.638258,6
152,Mr.Capone,1.0,6.0,29,53.01726,18.571075,5
153,McDonald's,1.0,6.0,158,53.014522,18.5616,6
154,Mr.Capone,1.0,6.0,378,53.020554,18.570606,9
155,Mr.Capone,1.0,6.0,656,53.018989,18.580011,7
156,KFC,1.0,6.0,803,53.017646,18.635777,7
157,McDonald's,1.0,5.9,445,53.034691,18.612857,4
158,McDonald's,1.0,5.9,55,53.031525,18.610275,8
159,Fort IV,,5.7,567,53.04035,18.624286,2
160,McDonald's,1.0,5.6,314,53.023772,18.675857,7
161,McDonald's,1.0,5.6,559,53.027355,18.665235,6
162,Stara Paczkarnia,1.0,,25,53.033019,18.599727,3
163,Klif. Bar,2.0,,181,53.033019,18.599727,3
164,Klif. Bar,2.0,,188,53.033019,18.599727,3
165,Kinga Łuczak Usługi Hotelowe,,,283,53.033019,18.599727,3
166,Pizzeria Wenecja,1.0,,314,53.033019,18.599727,3
167,Drink Bar Sierżant Dawid Kościecha,1.0,,350,53.033019,18.599727,3
168,Degustator Rafał Daczkowski,2.0,,370,53.033019,18.599727,3
169,Pizzeria Venus,1.0,,64,53.013489,18.571125,7
170,Kakadu u Marcina - Pub,2.0,,71,53.013489,18.571125,7
171,Zahir Kebab,,,88,53.013489,18.571125,7
172,Restauracja Montenegro,1.0,,114,53.030117,18.58979,7
173,Cafe Molus,1.0,,142,53.030117,18.58979,7
174,Restauracja W Kapciach,,,144,53.030117,18.58979,7
175,MClub,,,160,53.030117,18.58979,7
176,"Misada. Restauracja, organizacja imprez",,,164,53.030117,18.58979,7
177,Favola,1.0,,184,53.030117,18.58979,7
178,Kalinowska Giorgi Wanda Pod Jarzębiną Pokoje Gościnne,,,258,53.030117,18.58979,7
179,Pod Jarzębiną,,,262,53.030117,18.58979,7
180,La Pablo. FHU. Wiwatowski P.,1.0,,64,52.99555,18.616924,8
181,Kim Orient,2.0,,97,52.99555,18.616924,8
182,Pizzeria Laguna,1.0,,126,52.99555,18.616924,8
183,Start Bar. Bugajski Artur Toruń,2.0,,464,52.99555,18.616924,8
184,Zapiekanki na dworcu,1.0,,480,52.99555,18.616924,8
185,Spichrz,,,480,52.99555,18.616924,8
186,Zapiekarnia,1.0,,520,52.99555,18.616924,8
187,Dakat Firma. Dróżdż Teresa Toruń,,,556,52.99555,18.616924,8
188,Folborska Monika Marcello,1.0,,562,52.99555,18.616924,8
189,Restauracja Waliza,,,734,52.99555,18.616924,8
190,California Pizza Bar,1.0,,54,53.022897,18.583878,5
191,Dom Pielgrzyma,,,55,53.022897,18.583878,5
192,Bar U Beaty,1.0,,99,53.022897,18.583878,5
193,Obiady u basi,1.0,,112,53.022897,18.583878,5
194,Smakuś,,,134,53.022897,18.583878,5
195,Chiński Kubek,1.0,,140,53.022897,18.583878,5
196,NY's Pizza,1.0,,180,53.010124,18.584802,8
197,Cukiernia & Cafe Weranda Anna Nitkowska,,,265,53.010124,18.584802,8
198,Stachowski Daniel Bar,1.0,,282,53.010124,18.584802,8
199,Chwast Prast Vegetarian Bistro,2.0,,289,53.010124,18.584802,8
200,Tara,1.0,,296,53.010124,18.584802,8
201,Transcatering,,,317,53.010124,18.584802,8
202,Dariusz Nowak,,,185,53.029537,18.653436,7
203,Kawiarnia Staś Kwiatkowska Alicja,1.0,,247,53.029537,18.653436,7
204,Pizzeria Yarpen,1.0,,350,53.029537,18.653436,7
205,Caffe Bar. Drink-bar,2.0,,364,53.029537,18.653436,7
206,Skrzynka,,,430,53.029537,18.653436,7
207,Policealna Szkoła Usług Turystycznych,,,502,53.029537,18.653436,7
208,Ajsu Kebab,,,542,53.029537,18.653436,7
209,Mała Gastronomia Cegielski Jerzy,1.0,,758,53.029537,18.653436,7
210,Autosar. Restauracja,,,763,53.029537,18.653436,7
211,Cichy Zakątek S.C. Zembrzuska Magdalena Dąbrowska Kinga,1.0,,338,53.018852,18.591969,8
212,Apartament ksiezycowy II,,,433,53.018852,18.591969,8
213,Palce Lizać,,,507,53.018852,18.591969,8
214,Pro Eco - Invest Sp. z o.o.,,,583,53.018852,18.591969,8
215,Smakuś,,,619,53.018852,18.591969,8
216,Pizza Sfera,1.0,,634,53.018852,18.591969,8
217,Warpol,1.0,,640,53.018852,18.591969,8
218,Bar Statystyk,,,688,53.018852,18.591969,8
219,"Lokal Elena – Wesele, Catering Toruń",,,16,53.037219,18.657603,6
220,Elena. Restauracja,,,94,53.037219,18.657603,6
221,Cichowicz Maria. Bufet,2.0,,567,53.037219,18.657603,6
222,Rustico Kebab,,,789,53.037219,18.657603,6
223,Planeta Kebab,2.0,,840,53.037219,18.657603,6
224,Kawiarnia Staś Kwiatkowska Alicja,1.0,,906,53.037219,18.657603,6
225,Forte Prim Sp. z o.o. Sp.k,,,941,53.037219,18.657603,6
226,Ajsu Kebab,,,982,53.037219,18.657603,6
227,Pcic Poland Sp. z o.o.,,,540,53.037219,18.657603,6
228,DDG Restauracje Grotkowscy Danuta Grotkowskaplacówka Opiekuncza Danuta Grotkowska,,,793,53.037219,18.657603,6
229,BIM Oriental Fast Food,1.0,,125,53.034691,18.612857,4
