name,price,rating,distance,category.plural,category.name
Coffee & Whisky House,3.0,8.8,603,Cafés,Café
Coffee & Whisky House,3.0,8.8,832,Whisky Bars,Whisky Bar
Coffee & Whisky House,3.0,8.8,603,Whisky Bars,Whisky Bar
Coffee & Whisky House,3.0,8.8,229,Restaurants,Restaurant
Coffee & Whisky House,3.0,8.8,229,Cafés,Café
Coffee & Whisky House,3.0,8.8,229,Whisky Bars,Whisky Bar
Coffee & Whisky House,3.0,8.8,852,Whisky Bars,Whisky Bar
Coffee & Whisky House,3.0,8.8,211,Cafés,Café
Coffee & Whisky House,3.0,8.8,211,Restaurants,Restaurant
Coffee & Whisky House,3.0,8.8,852,Cafés,Café
Coffee & Whisky House,3.0,8.8,211,Whisky Bars,Whisky Bar
Coffee & Whisky House,3.0,8.8,852,Restaurants,Restaurant
Coffee & Whisky House,3.0,8.8,832,Cafés,Café
Coffee & Whisky House,3.0,8.8,657,Restaurants,Restaurant
Coffee & Whisky House,3.0,8.8,810,Whisky Bars,Whisky Bar
Coffee & Whisky House,3.0,8.8,810,Cafés,Café
Coffee & Whisky House,3.0,8.8,810,Restaurants,Restaurant
Coffee & Whisky House,3.0,8.8,657,Whisky Bars,Whisky Bar
Coffee & Whisky House,3.0,8.8,657,Cafés,Café
Coffee & Whisky House,3.0,8.8,603,Restaurants,Restaurant
Coffee & Whisky House,3.0,8.8,832,Restaurants,Restaurant
Copernicus Toruń Hotel,,8.6,251,Hotels,Hotel
Copernicus Toruń Hotel,,8.6,469,Hotels,Hotel
Copernicus Toruń Hotel,,8.6,945,Hotels,Hotel
Copernicus Toruń Hotel,,8.6,292,Hotels,Hotel
Copernicus Toruń Hotel,,8.6,855,Hotels,Hotel
Szeroka No.9,,8.5,582,Cafés,Café
Szeroka No.9,,8.5,477,Cafés,Café
Szeroka No.9,,8.5,276,Restaurants,Restaurant
Szeroka No.9,,8.5,786,Restaurants,Restaurant
Szeroka No.9,,8.5,477,Restaurants,Restaurant
Szeroka No.9,,8.5,806,Cafés,Café
Szeroka No.9,,8.5,786,Cafés,Café
Szeroka No.9,,8.5,582,Restaurants,Restaurant
Szeroka No.9,,8.5,806,Restaurants,Restaurant
Szeroka No.9,,8.5,276,Cafés,Café
Szeroka No.9,,8.5,591,Restaurants,Restaurant
Szeroka No.9,,8.5,591,Cafés,Café
Szeroka No.9,,8.5,731,Cafés,Café
Szeroka No.9,,8.5,731,Restaurants,Restaurant
Szeroka No.9,,8.5,529,Cafés,Café
Szeroka No.9,,8.5,529,Restaurants,Restaurant
Manekin,,8.4,405,Restaurants,Restaurant
Bread House Cafe,1.0,8.4,739,Restaurants,Restaurant
Manekin,,8.4,341,Restaurants,Restaurant
Widelec,2.0,8.4,160,Bars,Bar
Bread House Cafe,1.0,8.4,739,Bakeries,Bakery
Bread House Cafe,1.0,8.4,739,Coffee Shops,Coffee Shop
Apartamenty Monka,,8.4,872,Bistros,Bistro
Widelec,2.0,8.4,440,Bistros,Bistro
Widelec,2.0,8.4,160,BBQ Joints,BBQ
Widelec,2.0,8.4,160,Bistros,Bistro
Bread House Cafe,1.0,8.4,656,Restaurants,Restaurant
Manekin,,8.4,210,Creperies,Creperie
Manekin,,8.4,210,Restaurants,Restaurant
Bread House Cafe,1.0,8.4,656,Coffee Shops,Coffee Shop
Bread House Cafe,1.0,8.4,656,Bakeries,Bakery
Manekin,,8.4,341,Creperies,Creperie
Manekin,,8.4,986,Creperies,Creperie
Manekin,,8.4,986,Restaurants,Restaurant
Manekin,,8.4,405,Creperies,Creperie
Widelec,2.0,8.4,693,Bars,Bar
Widelec,2.0,8.4,893,Bistros,Bistro
Widelec,2.0,8.4,693,BBQ Joints,BBQ
Apartamenty Monka,,8.4,590,Bistros,Bistro
Widelec,2.0,8.4,693,Bistros,Bistro
Manekin,,8.4,671,Restaurants,Restaurant
Bread House Cafe,1.0,8.4,434,Restaurants,Restaurant
Bread House Cafe,1.0,8.4,434,Coffee Shops,Coffee Shop
Manekin,,8.4,671,Creperies,Creperie
Manekin,,8.4,833,Creperies,Creperie
Bread House Cafe,1.0,8.4,434,Bakeries,Bakery
Widelec,2.0,8.4,440,Bars,Bar
