name,price,rating,distance,latitude,longitude
Montenegro,1.0,8.0,670,53.033019,18.599727
Weranda Chełmińska,2.0,7.5,842,53.033019,18.599727
Stara Paczkarnia,1.0,,25,53.033019,18.599727
KFC,1.0,6.3,803,53.033019,18.599727
Klif. Bar,2.0,,181,53.033019,18.599727
Klif. Bar,2.0,,188,53.033019,18.599727
Kinga Łuczak Usługi Hotelowe,,,283,53.033019,18.599727
Pizzeria Wenecja,1.0,,314,53.033019,18.599727
Drink Bar Sierżant Dawid Kościecha,1.0,,350,53.033019,18.599727
Degustator Rafał Daczkowski,2.0,,370,53.033019,18.599727
Manekin,,8.4,379,53.013489,18.571125
Widelec,2.0,8.4,730,53.013489,18.571125
Azzurro,2.0,7.3,335,53.013489,18.571125
Czarny Tulipan. Pub,2.0,7.4,619,53.013489,18.571125
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,859,53.013489,18.571125
Subway,1.0,6.5,637,53.013489,18.571125
Pizzeria Venus,1.0,,64,53.013489,18.571125
Kakadu u Marcina - Pub,2.0,,71,53.013489,18.571125
Zahir Kebab,,,88,53.013489,18.571125
Mr.Capone,1.0,6.0,408,53.013489,18.571125
Montenegro,1.0,8.0,215,53.030117,18.58979
Weranda Chełmińska,2.0,7.5,343,53.030117,18.58979
Restauracja Montenegro,1.0,,114,53.030117,18.58979
Cafe Molus,1.0,,142,53.030117,18.58979
Restauracja W Kapciach,,,144,53.030117,18.58979
MClub,,,160,53.030117,18.58979
"Misada. Restauracja, organizacja imprez",,,164,53.030117,18.58979
Favola,1.0,,184,53.030117,18.58979
Kalinowska Giorgi Wanda Pod Jarzębiną Pokoje Gościnne,,,258,53.030117,18.58979
Pod Jarzębiną,,,262,53.030117,18.58979
Bread House Cafe,1.0,8.4,106,53.009622,18.600228
Coffee & Whisky House,3.0,8.8,229,53.009622,18.600228
Apartamenty Monka,,8.4,211,53.009622,18.600228
Copernicus Toruń Hotel,,8.6,292,53.009622,18.600228
Szeroka No.9,,8.5,529,53.009622,18.600228
Pierogarnia Stary Młyn,1.0,8.1,452,53.009622,18.600228
Pierogarnia Stary Toruń,1.0,8.1,496,53.009622,18.600228
Manekin,,8.4,662,53.009622,18.600228
Jan Olbracht Browar Staromiejski,2.0,7.8,405,53.009622,18.600228
Stare Metropolis,1.0,7.2,447,53.009622,18.600228
Manekin,,8.4,302,53.013655,18.612899
Szeroka No.9,,8.5,477,53.013655,18.612899
Pierogarnia Stary Toruń,1.0,8.1,464,53.013655,18.612899
Coffee & Whisky House,3.0,8.8,852,53.013655,18.612899
Pierogarnia Stary Młyn,1.0,8.1,572,53.013655,18.612899
Bread House Cafe,1.0,8.4,852,53.013655,18.612899
Apartamenty Monka,,8.4,901,53.013655,18.612899
Jan Olbracht Browar Staromiejski,2.0,7.8,555,53.013655,18.612899
Stare Metropolis,1.0,7.2,584,53.013655,18.612899
Lizard King,,7.0,703,53.013655,18.612899
La Pablo. FHU. Wiwatowski P.,1.0,,64,52.99555,18.616924
Kim Orient,2.0,,97,52.99555,18.616924
Pizzeria Laguna,1.0,,126,52.99555,18.616924
Start Bar. Bugajski Artur Toruń,2.0,,464,52.99555,18.616924
Zapiekanki na dworcu,1.0,,480,52.99555,18.616924
Spichrz,,,480,52.99555,18.616924
Zapiekarnia,1.0,,520,52.99555,18.616924
Dakat Firma. Dróżdż Teresa Toruń,,,556,52.99555,18.616924
Folborska Monika Marcello,1.0,,562,52.99555,18.616924
Restauracja Waliza,,,734,52.99555,18.616924
Widelec,2.0,8.4,655,53.022897,18.583878
Montenegro,1.0,8.0,877,53.022897,18.583878
Weranda Chełmińska,2.0,7.5,705,53.022897,18.583878
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,502,53.022897,18.583878
California Pizza Bar,1.0,,54,53.022897,18.583878
Dom Pielgrzyma,,,55,53.022897,18.583878
Bar U Beaty,1.0,,99,53.022897,18.583878
Obiady u basi,1.0,,112,53.022897,18.583878
Smakuś,,,134,53.022897,18.583878
Chiński Kubek,1.0,,140,53.022897,18.583878
Copernicus Toruń Hotel,,8.6,855,53.010124,18.584802
Widelec,2.0,8.4,893,53.010124,18.584802
Czarny Tulipan. Pub,2.0,7.4,369,53.010124,18.584802
Azzurro,2.0,7.3,728,53.010124,18.584802
NY's Pizza,1.0,,180,53.010124,18.584802
Cukiernia & Cafe Weranda Anna Nitkowska,,,265,53.010124,18.584802
Stachowski Daniel Bar,1.0,,282,53.010124,18.584802
Chwast Prast Vegetarian Bistro,2.0,,289,53.010124,18.584802
Tara,1.0,,296,53.010124,18.584802
Transcatering,,,317,53.010124,18.584802
KFC,1.0,6.5,922,53.029537,18.653436
Dariusz Nowak,,,185,53.029537,18.653436
Kawiarnia Staś Kwiatkowska Alicja,1.0,,247,53.029537,18.653436
Pizzeria Yarpen,1.0,,350,53.029537,18.653436
Caffe Bar. Drink-bar,2.0,,364,53.029537,18.653436
Skrzynka,,,430,53.029537,18.653436
Policealna Szkoła Usług Turystycznych,,,502,53.029537,18.653436
Ajsu Kebab,,,542,53.029537,18.653436
Mała Gastronomia Cegielski Jerzy,1.0,,758,53.029537,18.653436
Autosar. Restauracja,,,763,53.029537,18.653436
Weranda Chełmińska,2.0,7.5,930,53.018852,18.591969
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,780,53.018852,18.591969
Cichy Zakątek S.C. Zembrzuska Magdalena Dąbrowska Kinga,1.0,,338,53.018852,18.591969
Apartament ksiezycowy II,,,433,53.018852,18.591969
Palce Lizać,,,507,53.018852,18.591969
Pro Eco - Invest Sp. z o.o.,,,583,53.018852,18.591969
Smakuś,,,619,53.018852,18.591969
Pizza Sfera,1.0,,634,53.018852,18.591969
Warpol,1.0,,640,53.018852,18.591969
Bar Statystyk,,,688,53.018852,18.591969
"Lokal Elena – Wesele, Catering Toruń",,,16,53.037219,18.657603
Elena. Restauracja,,,94,53.037219,18.657603
Cichowicz Maria. Bufet,2.0,,567,53.037219,18.657603
Rustico Kebab,,,789,53.037219,18.657603
Planeta Kebab,2.0,,840,53.037219,18.657603
Kawiarnia Staś Kwiatkowska Alicja,1.0,,906,53.037219,18.657603
Forte Prim Sp. z o.o. Sp.k,,,941,53.037219,18.657603
Ajsu Kebab,,,982,53.037219,18.657603
Pcic Poland Sp. z o.o.,,,540,53.037219,18.657603
DDG Restauracje Grotkowscy Danuta Grotkowskaplacówka Opiekuncza Danuta Grotkowska,,,793,53.037219,18.657603
KFC,1.0,6.3,451,53.034691,18.612857
BIM Oriental Fast Food,1.0,,125,53.034691,18.612857
"Hotel i Karczma ""Spichrz""",,,162,53.034691,18.612857
McDonald's,1.0,5.9,445,53.034691,18.612857
Verona II S c Euro Car Bogusław Bojdo Aneta Bojdo,,,200,53.034691,18.612857
Wild Bean Cafe,1.0,,324,53.034691,18.612857
Przeds Handlowo Usługowe S.C. Airfort Stawicki Janusz Paruszewski Adam,1.0,,338,53.034691,18.612857
Pokoje Alfa,,,374,53.034691,18.612857
Bar Hotelowy Alfa,1.0,,374,53.034691,18.612857
G132 Office & Restaurant,,,378,53.034691,18.612857
Widelec,2.0,6.6,279,53.025994,18.633996
McDonald's,1.0,6.1,216,53.025994,18.633996
KFC,1.0,6.0,303,53.025994,18.633996
Ciechanowski Marian. Punkt małej gastronomii,2.0,,38,53.025994,18.633996
Byczy Burger,1.0,,201,53.025994,18.633996
Baalbek,1.0,,202,53.025994,18.633996
North Fish,3.0,,216,53.025994,18.633996
Bangkok Wok,2.0,,261,53.025994,18.633996
Dołasiński Zbigniew Kasztelan Bar,1.0,,267,53.025994,18.633996
"Baalbek sp.j. Cieślewicz A., Poddany J.",2.0,,303,53.025994,18.633996
Montenegro,1.0,8.0,746,53.025309,18.601746
Weranda Chełmińska,2.0,7.5,710,53.025309,18.601746
Hotel Filmar,,7.0,805,53.025309,18.601746
Pizzeria Pe-Pe Marek Mech,2.0,,111,53.025309,18.601746
Pizzeria Promyk,1.0,,122,53.025309,18.601746
Jankowska Małgorzata pod Koszem Bar,1.0,,212,53.025309,18.601746
Simple Plan Ewelina Kosińska,,,267,53.025309,18.601746
Warpol,1.0,,334,53.025309,18.601746
Pizza Sfera,1.0,,351,53.025309,18.601746
Pizzeria Laguna,1.0,,370,53.025309,18.601746
W obłokach cafe,1.0,,293,53.050109,18.603833
Rubens & Monet,,,774,53.050109,18.603833
Prim S.C. Kulpa Wiktor Kulpa Elżbieta,1.0,,954,53.050109,18.603833
"Rubbens. Hotel, Restauracja",,,13991,53.050109,18.603833
Usługi Kelnerskie Dominika Urbanik,,,947,53.050109,18.603833
Hotel Filmar,,7.0,944,53.019546,18.623415
Loft79,3.0,6.7,980,53.019546,18.623415
Belfood Arkadiusz Szmytkowski,,,138,53.019546,18.623415
Zahir Kebab,2.0,,304,53.019546,18.623415
Hotele Solaris Sp. z o.o.,,,315,53.019546,18.623415
Mała Gastronomia Rożen Sós Piotr,1.0,,378,53.019546,18.623415
Kashmir,2.0,,393,53.019546,18.623415
Max. Pub,1.0,,481,53.019546,18.623415
Kebab,,,540,53.019546,18.623415
Thienlong,1.0,,580,53.019546,18.623415
"Rubbens. Hotel, Restauracja",,,14936,53.055472,18.617056
KFC,,6.2,434,53.028683,18.692462
Sandżak Sp. z o.o.,,,56,53.028683,18.692462
Montenegro,1.0,,61,53.028683,18.692462
"Bapol s.c. Przedsiębiorstwo handlowo - gastronomiczne. Męcner J., Fedorowicz B.",2.0,,94,53.028683,18.692462
Pizza Hut,1.0,,268,53.028683,18.692462
Fenix. Firma handlowo - gastronomiczna,2.0,,356,53.028683,18.692462
Tapas,1.0,,429,53.028683,18.692462
Firma Tapas Odolecka Jolanta,,,429,53.028683,18.692462
Cube Cafe. Kawiarnia Multiconcept. Sp. Z O.o.,1.0,,434,53.028683,18.692462
Subway,1.0,,441,53.028683,18.692462
KFC,1.0,6.5,281,53.027355,18.665235
Wild Bean Cafe,1.0,,277,53.027355,18.665235
Ajsu Kebab,,,293,53.027355,18.665235
Pizzeria Don Corleone,1.0,,324,53.027355,18.665235
Skrzynka,,,396,53.027355,18.665235
Dobry Adres Kuchnia i Pub,1.0,,431,53.027355,18.665235
Mała Gastronomia Cegielski Jerzy,1.0,,433,53.027355,18.665235
Caffe Bar. Drink-bar,2.0,,466,53.027355,18.665235
McDonald's,1.0,5.6,559,53.027355,18.665235
Pizzeria Yarpen,1.0,,496,53.027355,18.665235
Manekin,,8.4,671,53.014522,18.5616
Subway,1.0,6.5,43,53.014522,18.5616
Azzurro,2.0,7.3,968,53.014522,18.5616
McDonald's,1.0,6.0,158,53.014522,18.5616
North Fish,3.0,,41,53.014522,18.5616
Smaki Azji,2.0,,74,53.014522,18.5616
burgeroWnia,1.0,,90,53.014522,18.5616
Kosmos Hotel Torun,,,99,53.014522,18.5616
Arianos Döner Kebab,,,159,53.014522,18.5616
Misada,,,161,53.014522,18.5616
Manekin,,8.4,405,53.020554,18.570606
Widelec,2.0,8.4,693,53.020554,18.570606
Azzurro,2.0,7.3,810,53.020554,18.570606
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,672,53.020554,18.570606
