name,review_count,rating,price,distance,business_hours,category.title
Cukiernia Lenkiewicz,1,5.0,$,461.7815320874772,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",Desserts
Budzik Coffee,1,5.0,,370.24635493186537,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",Cafes
Budzik Coffee,1,5.0,,1071.045610440764,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",Cafes
Budzik Coffee,1,5.0,,1071.045610440764,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",Breakfast & Brunch
Chang-Lin,1,5.0,,756.874084922493,[],Asian Fusion
Coffeeheaven,1,5.0,,210.92545837709557,[],Cafes
Coffeeheaven,1,5.0,,210.92545837709557,[],Coffee & Tea
Budzik Coffee,1,5.0,,692.9637088515063,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",Breakfast & Brunch
Budzik Coffee,1,5.0,,692.9637088515063,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",Cafes
Mr. Capone,1,5.0,,683.6824925864963,[],Pizza
Budzik Coffee,1,5.0,,370.24635493186537,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",Breakfast & Brunch
