name,price,rating,distance,latitude,longitude
Cafe Molus,$,4.0,595.0660459591409,53.033019,18.599727
Bar Klif,$,3.0,184.71399427686362,53.033019,18.599727
La Grande,,4.0,328.1945761177329,53.033019,18.599727
Presto,,4.5,516.3575923973018,53.033019,18.599727
Azzurro,,4.0,278.1064481626736,53.013489,18.571125
Budzik Coffee,,5.0,416.18423705258454,53.013489,18.571125
Mr. Capone,,5.0,413.21624504008213,53.013489,18.571125
Gepetto,,5.0,742.5539115498477,53.013489,18.571125
Coffeeheaven,,5.0,823.7709440118925,53.013489,18.571125
Czarny Tulipan,,4.0,627.0747231661308,53.013489,18.571125
Cafe Molus,$,4.0,155.4995310517114,53.030117,18.58979
Presto,,4.5,840.3135213744985,53.030117,18.58979
La Grande,,4.0,499.84562707447583,53.030117,18.58979
Bar Klif,$,3.0,782.2909223000282,53.030117,18.58979
Coffee & Whisky House,$$,4.3,243.490319758216,53.009622,18.600228
Pierogarnia Stary Toruń,$$,4.4,482.05470400053025,53.009622,18.600228
Chleb i Wino,$$,4.3,283.2856093904474,53.009622,18.600228
Browar Staromiejski Jan Olbracht,$$,3.8,395.11405241900826,53.009622,18.600228
Cafe Lenkiewicz,$$,4.5,347.4356432763724,53.009622,18.600228
Stare Metropolis,$$$$,4.9,432.52852649851553,53.009622,18.600228
Manekin,$,3.8,478.60744485921305,53.009622,18.600228
Kona Coast Cafe,$,4.5,326.7819958503193,53.009622,18.600228
Spaghetteria Pasta,$,3.4,235.9806574834045,53.009622,18.600228
Cukiernia Lenkiewicz,$$,4.8,662.5317302019465,53.009622,18.600228
Pierogarnia Stary Toruń,$$,4.4,478.54972230225485,53.013655,18.612899
Cukiernia Lenkiewicz,$$,4.8,364.8134662808958,53.013655,18.612899
Pizzeria Piccolo,$,4.0,338.15132820836374,53.013655,18.612899
Restauracja Po Naszemu Sp. z o.o.,$$,4.8,445.04468432656,53.013655,18.612899
Stare Metropolis,$$$$,4.9,593.5562711380312,53.013655,18.612899
Browar Staromiejski Jan Olbracht,$$,3.8,565.9472031881969,53.013655,18.612899
Loft79,$$$,3.3,167.05381546625804,53.013655,18.612899
Manekin,$,3.8,967.1393006134089,53.013655,18.612899
Cafe Lenkiewicz,$$,4.5,614.9983396032331,53.013655,18.612899
Karczma Gęsia Szyja,$$,4.0,462.3357498930428,53.013655,18.612899
AS,,3.0,106.89143632677698,52.99555,18.616924
Coffee2Go,,4.0,557.5781294689574,52.99555,18.616924
Cafe Molus,$,4.0,986.2276616130752,53.022897,18.583878
Budzik Coffee,,5.0,1071.045610440764,53.022897,18.583878
Mr. Capone,,5.0,1080.0423791353735,53.022897,18.583878
Gepetto,,5.0,653.7773716790102,53.022897,18.583878
Azzurro,,4.0,1124.8417620462956,53.022897,18.583878
Manekin,$,3.8,999.5428216321244,53.010124,18.584802
Sklep Bar na Rozdrożu Pudełek Brygida,,5.0,347.2580465684368,53.010124,18.584802
Sfera Restauracja,,5.0,820.2317183018885,53.010124,18.584802
Budzik Coffee,,5.0,1218.821337618143,53.010124,18.584802
Czarny Tulipan,,4.0,362.07279378930247,53.010124,18.584802
Mr. Capone,,5.0,1223.3079144961875,53.010124,18.584802
New York's Pizza,,2.0,999.5428216321244,53.010124,18.584802
Gepetto,,5.0,880.8400471919448,53.010124,18.584802
Azzurro,,4.0,798.4800833084922,53.010124,18.584802
Ogród Zoobotaniczny,,4.5,770.6496786703476,53.010124,18.584802
Cukiernia Sowa,,3.0,1161.86892681471,53.029537,18.653436
Pierogarnia Stary Toruń,$$,4.4,1238.7273552375802,53.018852,18.591969
Manekin,$,3.8,710.1998443935782,53.018852,18.591969
Browar Staromiejski Jan Olbracht,$$,3.8,1262.2323757004833,53.018852,18.591969
